estado,año,homicidios_100k
Querétaro,2017,9.66
Querétaro,2018,9.85
Querétaro,2019,9.36
Querétaro,2020,9.99
Querétaro,2021,9.83
Querétaro,2022,7.91
Querétaro,2023,9.07
Quintana Roo,2003,13.27
Quintana Roo,2004,12.7
Quintana Roo,2005,6.79
Quintana Roo,2006,5.63
Quintana Roo,2007,9.69
Quintana Roo,2008,11.01
Quintana Roo,2009,10.3
Quintana Roo,2010,10.14
Quintana Roo,2011,10.9
Quintana Roo,2012,9.87
Quintana Roo,2013,10.08
Quintana Roo,2014,7.37
Quintana Roo,2015,8.22
Quintana Roo,2016,10.5
Quintana Roo,2017,23.78
Quintana Roo,2018,42.28
Quintana Roo,2019,36.32
Quintana Roo,2020,32.16
Quintana Roo,2021,33.11
Quintana Roo,2022,30.28
Quintana Roo,2023,31.9
San Luis Potosí,2003,6.16
San Luis Potosí,2004,5.58
San Luis Potosí,2005,5.63
San Luis Potosí,2006,6.35
San Luis Potosí,2007,5.67
San Luis Potosí,2008,7.79
San Luis Potosí,2009,8.11
San Luis Potosí,2010,13.95
San Luis Potosí,2011,13.68
San Luis Potosí,2012,16.83
San Luis Potosí,2013,11.05
San Luis Potosí,2014,9.71
San Luis Potosí,2015,9.47
San Luis Potosí,2016,11.66
San Luis Potosí,2017,17.57
San Luis Potosí,2018,19.26
San Luis Potosí,2019,17.63
San Luis Potosí,2020,28.44
San Luis Potosí,2021,27.32
San Luis Potosí,2022,25.21
San Luis Potosí,2023,18.04
Sinaloa,2003,16.35
Sinaloa,2004,14.9
Sinaloa,2005,16.31
Sinaloa,2006,17.14
Sinaloa,2007,14.58
Sinaloa,2008,29.89
Sinaloa,2009,51.53
Sinaloa,2010,86.14
Sinaloa,2011,70.0
Sinaloa,2012,48.56
Sinaloa,2013,42.03
Sinaloa,2014,39.4
Sinaloa,2015,37.04
Sinaloa,2016,43.53
Sinaloa,2017,54.27
Sinaloa,2018,39.79
Sinaloa,2019,36.79
Sinaloa,2020,29.52
Sinaloa,2021,20.87
