estado,año,pibe_millones,poblacion,pibe_per_capita
Michoacán de Ocampo,2011,522287,4193000,124562
Morelos,2011,241158,1772000,136094
Nayarit,2011,141215,1101000,128261
Nuevo León,2011,1558835,4919000,316901
Oaxaca,2011,385968,3796000,101678
Puebla,2011,707410,6357000,111280
Querétaro,2011,509818,1874000,272048
Quintana Roo,2011,268259,1495000,179437
San Luis Potosí,2011,416108,2660000,156432
Sinaloa,2011,452499,2843000,159163
Sonora,2011,648753,2737000,237031
Tabasco,2011,569066,2196000,259138
Tamaulipas,2011,647448,3387000,191157
Tlaxcala,2011,125891,1165000,108061
Veracruz de Ignacio de la Llave,2011,1047542,7454000,140534
Yucatán,2011,289261,2194000,131842
Zacatecas,2011,197227,1499000,131572
Aguascalientes,2012,242758,1248000,194518
Baja California,2012,726418,3428000,211907
Baja California Sur,2012,147270,642000,229393
Campeche,2012,691262,789000,876124
Coahuila de Zaragoza,2012,870635,2840000,306562
Colima,2012,135600,703000,192888
Chiapas,2012,370237,4829000,76669
Chihuahua,2012,711481,3561000,199798
Ciudad de México,2012,3332209,8720000,382134
Durango,2012,286058,1568000,182435
Guanajuato,2012,892379,5580000,159925
Guerrero,2012,294551,3380000,87145
Hidalgo,2012,379811,2616000,145188
Jalisco,2012,1488617,7935000,187601
México,2012,1911402,16118000,118588
Michoacán de Ocampo,2012,531827,4212000,126265
Morelos,2012,248100,1791000,138526
Nayarit,2012,142898,1120000,127588
Nuevo León,2012,1621930,5056000,320793
Oaxaca,2012,386538,3821000,101161
Puebla,2012,747712,6464000,115673
Querétaro,2012,526761,1935000,272228
Quintana Roo,2012,280381,1560000,179731
San Luis Potosí,2012,437595,2697000,162253
Sinaloa,2012,466782,2873000,162472
Sonora,2012,681379,2781000,245012
Tabasco,2012,595176,2238000,265941
Tamaulipas,2012,676616,3443000,196519
Tlaxcala,2012,128975,1187000,108656
Veracruz de Ignacio de la Llave,2012,1084723,7464000,145327
Yucatán,2012,299649,2248000,133296
Zacatecas,2012,201298,1514000,132958
Aguascalientes,2013,251657,1281000,196454
Baja California,2013,733754,3489000,210305
Baja California Sur,2013,145216,668000,217389
Campeche,2013,692550,801000,864607
Coahuila de Zaragoza,2013,864429,2895000,298594
Colima,2013,133729,719000,185993
Chiapas,2013,360621,4898000,73626
Chihuahua,2013,732551,3586000,204281
Ciudad de México,2013,3363394,8712000,386065
Durango,2013,299615,1577000,189990
Guanajuato,2013,931177,5678000,163997
Guerrero,2013,299721,3409000,87921
Hidalgo,2013,379720,2656000,142967
Jalisco,2013,1514073,8070000,187617
México,2013,1923372,16346000,117666
Michoacán de Ocampo,2013,533526,4231000,126099
Morelos,2013,258139,1810000,142618
Nayarit,2013,145073,1140000,127257
Nuevo León,2013,1611569,5194000,310275
Oaxaca,2013,397816,3846000,103436
Puebla,2013,735648,6572000,111937
Querétaro,2013,522048,1997000,261416
Quintana Roo,2013,289182,1627000,177739
San Luis Potosí,2013,450257,2734000,164688
Sinaloa,2013,465716,2903000,160426
Sonora,2013,709514,2825000,251155
Tabasco,2013,597200,2280000,261930
Tamaulipas,2013,680107,3500000,194316
Tlaxcala,2013,128121,1210000,105885
Veracruz de Ignacio de la Llave,2013,1074459,7474000,143760
Yucatán,2013,302445,2302000,131384
Zacatecas,2013,196164,1528000,128380
Aguascalientes,2014,277675,1314000,211320
Baja California,2014,760857,3550000,214326
Baja California Sur,2014,147614,694000,212700
Campeche,2014,685992,812000,844818
Coahuila de Zaragoza,2014,902863,2950000,306055
Colima,2014,135091,735000,183797
Chiapas,2014,374691,4968000,75421
Chihuahua,2014,753195,3611000,208583
Ciudad de México,2014,3412110,8704000,392016
Durango,2014,307940,1587000,194039
Guanajuato,2014,978989,5777000,169463
Guerrero,2014,320204,3438000,93137
Hidalgo,2014,397901,2696000,147589
Jalisco,2014,1567647,8207000,191013
México,2014,1966749,16575000,118658
Michoacán de Ocampo,2014,560341,4250000,131845
Morelos,2014,259666,1829000,141972
Nayarit,2014,145894,1160000,125771
Nuevo León,2014,1666975,5333000,312577
Oaxaca,2014,395065,3871000,102058
Puebla,2014,747337,6681000,111860
Querétaro,2014,542149,2060000,263179
Quintana Roo,2014,300006,1695000,176995
San Luis Potosí,2014,460034,2771000,166017
Sinaloa,2014,465691,2934000,158722
Sonora,2014,721989,2869000,251652
Tabasco,2014,594889,2323000,256087
Tamaulipas,2014,687653,3558000,193270
Tlaxcala,2014,130496,1232000,105922
Veracruz de Ignacio de la Llave,2014,1074852,7484000,143620
Yucatán,2014,312686,2356000,132719
Zacatecas,2014,211201,1543000,136877
Aguascalientes,2015,294497,1347000,218632
Baja California,2015,795081,3611000,220183
Baja California Sur,2015,156072,721000,216466
Campeche,2015,700311,824000,849892
Coahuila de Zaragoza,2015,897702,3005000,298736
Colima,2015,141029,751000,187788
Chiapas,2015,364001,5039000,72237
Chihuahua,2015,803883,3636000,221090
Ciudad de México,2015,3503520,8697000,402842
Durango,2015,300289,1597000,188033
Guanajuato,2015,1026150,5877000,174604
Guerrero,2015,314104,3467000,90598
Hidalgo,2015,413909,2737000,151227
Jalisco,2015,1626751,8344000,194961
México,2015,2007572,16805000,119463
Michoacán de Ocampo,2015,573506,4269000,134342
Morelos,2015,265751,1849000,143727
Nayarit,2015,147429,1180000,124940
Nuevo León,2015,1728164,5474000,315704
Oaxaca,2015,401404,3896000,103030
Puebla,2015,765650,6791000,112745
Querétaro,2015,574578,2124000,270517
Quintana Roo,2015,318608,1764000,180617
San Luis Potosí,2015,480025,2809000,170888
Sinaloa,2015,485181,2964000,163691
Sonora,2015,760031,2914000,260821
Tabasco,2015,553280,2366000,233846
Tamaulipas,2015,712997,3616000,197178
Tlaxcala,2015,137054,1255000,109206
Veracruz de Ignacio de la Llave,2015,1082922,7494000,144505
Yucatán,2015,322098,2411000,133595
Zacatecas,2015,214605,1557000,137832
Aguascalientes,2016,307396,1382000,222428
Baja California,2016,828692,3681000,225127
Baja California Sur,2016,163095,750000,217460
Campeche,2016,663239,835000,794298
Coahuila de Zaragoza,2016,901719,3062000,294487
Colima,2016,140705,767000,183449
Chiapas,2016,369919,5110000,72391
Chihuahua,2016,830489,3666000,226538
Ciudad de México,2016,3571368,8696000,410691
Durango,2016,305382,1606000,190151
Guanajuato,2016,1064743,5977000,178140
Guerrero,2016,313422,3493000,89729
Hidalgo,2016,418466,2776000,150744
Jalisco,2016,1676419,8479000,197714
México,2016,2058753,17027000,120911
Michoacán de Ocampo,2016,591410,4283000,138083
Morelos,2016,274365,1865000,147113
Nayarit,2016,152586,1199000,127261
Nuevo León,2016,1743961,5621000,310258
Oaxaca,2016,399768,3919000,102008
Puebla,2016,781511,6905000,113180
Querétaro,2016,576735,2189000,263470
Quintana Roo,2016,339733,1838000,184838
San Luis Potosí,2016,505856,2847000,177680
Sinaloa,2016,507492,2993000,169560
Sonora,2016,792034,2958000,267760
Tabasco,2016,532829,2407000,221366
Tamaulipas,2016,709960,3673000,193292
Tlaxcala,2016,139168,1277000,108980
Veracruz de Ignacio de la Llave,2016,1059514,7513000,141024
Yucatán,2016,336108,2469000,136131
Zacatecas,2016,216655,1572000,137821
Aguascalientes,2017,314242,1418000,221609
Baja California,2017,863601,3751000,230232
Baja California Sur,2017,170784,780000,218954
Campeche,2017,595667,847000,703267
Coahuila de Zaragoza,2017,941582,3119000,301886
Colima,2017,150360,783000,192031
Chiapas,2017,359734,5182000,69420
Chihuahua,2017,851284,3695000,230388
Ciudad de México,2017,3646318,8695000,419358
Durango,2017,304647,1615000,188636
Guanajuato,2017,1115371,6079000,183479
Guerrero,2017,308568,3518000,87711
Hidalgo,2017,416409,2815000,147925
Jalisco,2017,1708140,8617000,198229
México,2017,2166132,17251000,125566
Michoacán de Ocampo,2017,610394,4296000,142084
Morelos,2017,277403,1881000,147476
Nayarit,2017,155110,1219000,127244
Nuevo León,2017,1809344,5770000,313578
Oaxaca,2017,358236,3942000,90877
Puebla,2017,835369,7020000,118998
Querétaro,2017,591415,2256000,262152
Quintana Roo,2017,357117,1913000,186679
San Luis Potosí,2017,540244,2885000,187260
Sinaloa,2017,518703,3022000,171642
Sonora,2017,784601,3003000,261272
Tabasco,2017,502351,2449000,205125
Tamaulipas,2017,709150,3731000,190070
Tlaxcala,2017,143920,1300000,110708
Veracruz de Ignacio de la Llave,2017,1032744,7533000,137096
Yucatán,2017,349599,2527000,138345
Zacatecas,2017,220568,1587000,138984
Aguascalientes,2018,327926,1454000,225534
Baja California,2018,878817,3822000,229936
Baja California Sur,2018,184618,811000,227642
Campeche,2018,564591,859000,657265
Coahuila de Zaragoza,2018,966055,3177000,304078
Colima,2018,153808,799000,192501
Chiapas,2018,353600,5255000,67288
Chihuahua,2018,853323,3725000,229080
Ciudad de México,2018,3694575,8693000,425006
Durango,2018,308981,1624000,190259
Guanajuato,2018,1120603,6182000,181269
Guerrero,2018,317845,3544000,89685
Hidalgo,2018,418630,2854000,146682
Jalisco,2018,1754180,8756000,200340
México,2018,2243798,17476000,128393
Michoacán de Ocampo,2018,633757,4309000,147078
Morelos,2018,273245,1897000,144041
Nayarit,2018,155758,1238000,125814
Nuevo León,2018,1909026,5921000,322416
Oaxaca,2018,383160,3965000,96636
Puebla,2018,849556,7136000,119052
Querétaro,2018,611368,2324000,263067
Quintana Roo,2018,377341,1989000,189714
San Luis Potosí,2018,557796,2923000,190830
Sinaloa,2018,527714,3051000,172964
Sonora,2018,782098,3048000,256594
Tabasco,2018,471565,2491000,189308
Tamaulipas,2018,732094,3790000,193165
Tlaxcala,2018,147753,1323000,111680
Veracruz de Ignacio de la Llave,2018,1029905,7553000,136357
Yucatán,2018,364798,2586000,141067
Zacatecas,2018,228388,1602000,142564
Aguascalientes,2019,329358,1490000,221046
Baja California,2019,893946,3894000,229570
Baja California Sur,2019,177861,843000,210986
Campeche,2019,541963,871000,622231
Coahuila de Zaragoza,2019,953384,3235000,294709
Colima,2019,161110,815000,197681
Chiapas,2019,348914,5329000,65475
Chihuahua,2019,866861,3755000,230855
Ciudad de México,2019,3679917,8691000,423417
Durango,2019,309426,1634000,189367
Guanajuato,2019,1099063,6286000,174843
Guerrero,2019,317147,3570000,88837
Hidalgo,2019,409266,2893000,141468
Jalisco,2019,1767123,8897000,198620
México,2019,2209647,17702000,124825
Michoacán de Ocampo,2019,635628,4322000,147068
Morelos,2019,269686,1913000,140975
Nayarit,2019,157163,1258000,124931
Nuevo León,2019,1918825,6074000,315908
Oaxaca,2019,367364,3988000,92117
Puebla,2019,856911,7253000,118146
Querétaro,2019,609108,2392000,254644
Quintana Roo,2019,376757,2065000,182449
San Luis Potosí,2019,534392,2961000,180477
Sinaloa,2019,522342,3080000,169592
Sonora,2019,783103,3093000,253186
Tabasco,2019,445871,2533000,176025
Tamaulipas,2019,752814,3849000,195587
Tlaxcala,2019,147877,1346000,109864
Veracruz de Ignacio de la Llave,2019,1053328,7573000,139090
Yucatán,2019,365826,2645000,138309
Zacatecas,2019,219747,1617000,135898
Aguascalientes,2020,307126,1425000,215527
Baja California,2020,839693,3769000,222789
Baja California Sur,2020,151931,799000,190151
Campeche,2020,500515,820000,610384
Coahuila de Zaragoza,2020,843598,3073000,274519
Colima,2020,148143,771000,192144
Chiapas,2020,337240,5106000,66048
Chihuahua,2020,808711,3556000,227422
Ciudad de México,2020,3293855,8231000,400177
Durango,2020,286241,1550000,184672
Guanajuato,2020,1019446,5991000,170163
Guerrero,2020,289968,3393000,85461
Hidalgo,2020,364940,2752000,132609
Jalisco,2020,1624209,8449000,192237
México,2020,2035392,16764000,121414
Michoacán de Ocampo,2020,601189,4112000,146204
Morelos,2020,244989,1817000,134832
Nayarit,2020,142605,1187000,120139
Nuevo León,2020,1743166,5784000,301377
Oaxaca,2020,350911,3797000,92418
Puebla,2020,767210,6904000,111125
Querétaro,2020,553614,2273000,243561
Quintana Roo,2020,292733,1953000,149889
San Luis Potosí,2020,500251,2823000,177205
Sinaloa,2020,484353,2934000,165083
Sonora,2020,731238,2944000,248382
Tabasco,2020,464761,2402000,193489
Tamaulipas,2020,691400,3643000,189789
Tlaxcala,2020,135083,1272000,106197
Veracruz de Ignacio de la Llave,2020,971252,7230000,134336
Yucatán,2020,333528,2496000,133625
Zacatecas,2020,210643,1546000,136250
Aguascalientes,2021,315233,1475000,213717
Baja California,2021,896314,3912000,229119
Baja California Sur,2021,171065,833000,205360
Campeche,2021,489604,844000,580100
Coahuila de Zaragoza,2021,921587,3181000,289716
Colima,2021,147667,800000,184584
Chiapas,2021,353639,5264000,67181
Chihuahua,2021,846064,3691000,229224
Ciudad de México,2021,3496056,8520000,410335
Durango,2021,303251,1600000,189532
Guanajuato,2021,1084518,6189000,175233
Guerrero,2021,303633,3503000,86678
Hidalgo,2021,391962,2836000,138209
Jalisco,2021,1712483,8738000,195981
México,2021,2163538,17384000,124456
Michoacán de Ocampo,2021,629066,4247000,148120
Morelos,2021,259939,1881000,138192
Nayarit,2021,155969,1233000,126496
Nuevo León,2021,1865875,5978000,312124
Oaxaca,2021,385418,3929000,98096
Puebla,2021,794876,7125000,111562
Querétaro,2021,578175,2349000,246137
Quintana Roo,2021,332542,2045000,162612
San Luis Potosí,2021,516191,2917000,176960
Sinaloa,2021,507429,3042000,166808
Sonora,2021,760930,3056000,248995
Tabasco,2021,545416,2474000,220459
Tamaulipas,2021,725030,3776000,192010
Tlaxcala,2021,143213,1318000,108659
Veracruz de Ignacio de la Llave,2021,1027896,7481000,137401
Yucatán,2021,358660,2582000,138908
Zacatecas,2021,221592,1590000,139366
Aguascalientes,2022,314602,1524000,206432
Baja California,2022,919300,4053000,226820
Baja California Sur,2022,178130,868000,205219
Campeche,2022,472680,868000,544562
Coahuila de Zaragoza,2022,935841,3289000,284537
Colima,2022,148438,828000,179273
Chiapas,2022,374518,5423000,69061
Chihuahua,2022,911271,3826000,238179
Ciudad de México,2022,3650378,8810000,414345
Durango,2022,300478,1650000,182108
Guanajuato,2022,1110919,6388000,173907
Guerrero,2022,310106,3613000,85831
Hidalgo,2022,431252,2921000,147638
Jalisco,2022,1797547,9027000,199130
México,2022,2218453,18005000,123213
Michoacán de Ocampo,2022,652067,4383000,148772
Morelos,2022,260119,1946000,133669
Nayarit,2022,162601,1280000,127032
Nuevo León,2022,1928658,6173000,312434
Oaxaca,2022,415503,4062000,102290
Puebla,2022,825803,7347000,112400
Querétaro,2022,589221,2426000,242878
Quintana Roo,2022,356728,2137000,166929
San Luis Potosí,2022,532793,3011000,176949
Sinaloa,2022,516319,3154000,163703
Sonora,2022,790044,3169000,249304
Tabasco,2022,637775,2546000,250501
Tamaulipas,2022,748873,3909000,191577
Tlaxcala,2022,146642,1365000,107430
Veracruz de Ignacio de la Llave,2022,1041978,7732000,134762
Yucatán,2022,369043,2668000,138322
Zacatecas,2022,225013,1634000,137707
Aguascalientes,2023,334315,1573000,212533
Baja California,2023,947958,4195000,225973
Baja California Sur,2023,180788,904000,199987
Campeche,2023,508515,892000,570084
Coahuila de Zaragoza,2023,927968,3397000,273173
Colima,2023,153355,857000,178944
Chiapas,2023,379626,5582000,68009
Chihuahua,2023,940101,3962000,237279
Ciudad de México,2023,3805614,9099000,418245
Durango,2023,309199,1700000,181882
Guanajuato,2023,1125731,6587000,170902
Guerrero,2023,310655,3723000,83442
Hidalgo,2023,441544,3006000,146888
Jalisco,2023,1849621,9317000,198521
México,2023,2266285,18625000,121680
Michoacán de Ocampo,2023,676493,4518000,149733
Morelos,2023,267785,2011000,133160
Nayarit,2023,162090,1327000,122148
Nuevo León,2023,1991520,6368000,312739
Oaxaca,2023,443373,4194000,105716
Puebla,2023,852716,7569000,112659
Querétaro,2023,613535,2503000,245120
Quintana Roo,2023,398839,2229000,178932
San Luis Potosí,2023,573597,3105000,184733
Sinaloa,2023,517102,3267000,158280
Sonora,2023,826903,3282000,251951
Tabasco,2023,647378,2619000,247185
Tamaulipas,2023,746116,4042000,184591
Tlaxcala,2023,149204,1412000,105669
Veracruz de Ignacio de la Llave,2023,1062249,7983000,133064
Yucatán,2023,387739,2754000,140791
Zacatecas,2023,229296,1678000,136648
