estado,año,pct_secundario,pct_terciario
Nayarit,2010,22.4,65.07
Nuevo León,2010,41.22,51.65
Oaxaca,2010,35.72,55.96
Puebla,2010,32.98,57.47
Querétaro,2010,44.44,47.32
Quintana Roo,2010,11.49,80.18
San Luis Potosí,2010,39.82,51.58
Sinaloa,2010,23.48,62.69
Sonora,2010,41.24,46.26
Tabasco,2010,63.43,32.51
Tamaulipas,2010,43.89,47.68
Tlaxcala,2010,31.02,59.22
Veracruz de Ignacio de la Llave,2010,34.76,55.8
Yucatán,2010,24.61,67.26
Zacatecas,2010,34.8,48.25
Aguascalientes,2011,39.85,49.56
Baja California,2011,40.3,50.7
Baja California Sur,2011,23.24,68.64
Campeche,2011,85.59,12.84
Coahuila de Zaragoza,2011,54.94,36.98
Colima,2011,30.15,61.03
Chiapas,2011,27.45,62.69
Chihuahua,2011,37.8,50.14
Ciudad de México,2011,11.75,82.33
Durango,2011,37.05,51.11
Guanajuato,2011,36.3,54.47
Guerrero,2011,19.34,71.41
Hidalgo,2011,43.4,49.33
Jalisco,2011,29.18,59.09
México,2011,31.33,60.29
Michoacán de Ocampo,2011,23.26,61.8
Morelos,2011,31.58,59.59
Nayarit,2011,22.39,64.5
Nuevo León,2011,40.86,52.38
Oaxaca,2011,36.44,55.53
Puebla,2011,33.47,57.44
Querétaro,2011,44.77,47.26
Quintana Roo,2011,11.68,80.22
San Luis Potosí,2011,41.24,50.67
Sinaloa,2011,23.04,64.05
Sonora,2011,44.02,44.5
Tabasco,2011,63.48,32.67
Tamaulipas,2011,42.15,49.89
Tlaxcala,2011,31.63,60.13
Veracruz de Ignacio de la Llave,2011,34.06,56.72
Yucatán,2011,24.11,67.81
Zacatecas,2011,35.76,49.91
Aguascalientes,2012,40.48,49.0
Baja California,2012,40.71,50.37
Baja California Sur,2012,20.99,70.7
Campeche,2012,84.82,13.59
Coahuila de Zaragoza,2012,55.75,36.44
Colima,2012,29.32,62.92
Chiapas,2012,27.22,63.1
Chihuahua,2012,40.35,48.55
Ciudad de México,2012,11.92,82.34
Durango,2012,36.71,50.96
Guanajuato,2012,36.64,54.54
Guerrero,2012,19.37,71.72
Hidalgo,2012,43.18,49.31
Jalisco,2012,29.12,58.76
México,2012,30.6,60.95
Michoacán de Ocampo,2012,23.03,62.04
Morelos,2012,31.36,60.09
Nayarit,2012,23.36,63.68
Nuevo León,2012,40.35,53.17
Oaxaca,2012,35.42,56.59
Puebla,2012,34.52,56.32
Querétaro,2012,44.69,47.35
Quintana Roo,2012,10.61,81.42
San Luis Potosí,2012,42.94,48.95
Sinaloa,2012,20.2,65.74
Sonora,2012,44.06,44.38
Tabasco,2012,63.48,32.65
Tamaulipas,2012,42.8,49.3
Tlaxcala,2012,31.93,59.0
Veracruz de Ignacio de la Llave,2012,34.89,56.11
Yucatán,2012,24.48,67.73
Zacatecas,2012,34.53,49.96
Aguascalientes,2013,41.52,48.25
Baja California,2013,40.23,50.73
Baja California Sur,2013,20.61,71.15
Campeche,2013,84.39,14.03
Coahuila de Zaragoza,2013,54.91,37.17
Colima,2013,28.89,63.58
Chiapas,2013,24.17,65.68
Chihuahua,2013,40.24,48.07
Ciudad de México,2013,11.02,83.29
Durango,2013,38.16,49.79
Guanajuato,2013,38.31,52.69
Guerrero,2013,20.8,70.96
Hidalgo,2013,41.69,50.79
Jalisco,2013,29.2,58.92
México,2013,30.45,61.13
Michoacán de Ocampo,2013,21.69,63.12
Morelos,2013,31.45,59.77
Nayarit,2013,23.25,64.59
Nuevo León,2013,39.6,54.04
Oaxaca,2013,36.57,55.45
Puebla,2013,32.64,58.3
Querétaro,2013,42.99,49.09
Quintana Roo,2013,11.75,80.5
San Luis Potosí,2013,42.37,49.13
Sinaloa,2013,19.18,66.93
Sonora,2013,44.47,44.64
Tabasco,2013,62.37,33.87
Tamaulipas,2013,42.06,50.3
Tlaxcala,2013,30.65,60.62
Veracruz de Ignacio de la Llave,2013,35.23,55.62
Yucatán,2013,22.79,69.76
Zacatecas,2013,31.37,51.96
Aguascalientes,2014,44.31,45.37
Baja California,2014,41.62,49.58
Baja California Sur,2014,19.69,71.68
Campeche,2014,84.03,14.26
Coahuila de Zaragoza,2014,55.71,36.37
Colima,2014,28.44,64.56
Chiapas,2014,24.61,66.1
Chihuahua,2014,40.84,47.38
Ciudad de México,2014,10.64,83.76
Durango,2014,39.4,48.69
Guanajuato,2014,40.05,50.78
Guerrero,2014,23.31,68.27
Hidalgo,2014,42.22,50.57
Jalisco,2014,29.44,58.1
México,2014,29.62,62.35
Michoacán de Ocampo,2014,21.7,62.56
Morelos,2014,31.82,59.55
Nayarit,2014,23.87,65.05
Nuevo León,2014,39.93,53.7
Oaxaca,2014,35.94,56.18
Puebla,2014,33.24,57.88
Querétaro,2014,43.12,48.84
Quintana Roo,2014,12.78,79.57
San Luis Potosí,2014,42.22,48.93
Sinaloa,2014,18.5,67.77
Sonora,2014,44.66,44.63
Tabasco,2014,61.74,34.52
Tamaulipas,2014,41.62,50.14
Tlaxcala,2014,31.22,59.61
Veracruz de Ignacio de la Llave,2014,34.25,56.59
Yucatán,2014,23.33,69.21
Zacatecas,2014,34.3,49.21
Aguascalientes,2015,44.43,45.26
Baja California,2015,42.81,48.36
Baja California Sur,2015,21.26,69.95
Campeche,2015,83.15,14.23
Coahuila de Zaragoza,2015,54.74,37.43
Colima,2015,29.32,63.75
Chiapas,2015,22.72,67.27
Chihuahua,2015,42.13,46.04
Ciudad de México,2015,9.67,84.64
Durango,2015,37.39,50.53
Guanajuato,2015,40.93,49.86
Guerrero,2015,20.61,71.24
Hidalgo,2015,42.26,50.61
Jalisco,2015,30.21,57.64
México,2015,29.78,62.66
Michoacán de Ocampo,2015,21.47,62.73
Morelos,2015,31.51,59.83
Nayarit,2015,21.72,66.98
Nuevo León,2015,39.83,53.64
Oaxaca,2015,34.6,57.46
Puebla,2015,33.89,56.91
Querétaro,2015,43.49,48.34
Quintana Roo,2015,11.88,80.21
San Luis Potosí,2015,43.15,48.03
Sinaloa,2015,18.26,66.81
Sonora,2015,45.47,43.54
Tabasco,2015,57.65,37.95
Tamaulipas,2015,41.96,50.04
Tlaxcala,2015,32.75,57.83
Veracruz de Ignacio de la Llave,2015,33.02,57.42
Yucatán,2015,23.72,68.78
Zacatecas,2015,33.49,49.75
Aguascalientes,2016,44.29,45.53
Baja California,2016,42.53,48.88
Baja California Sur,2016,20.72,70.41
Campeche,2016,83.08,14.23
Coahuila de Zaragoza,2016,54.14,37.99
Colima,2016,27.64,64.9
Chiapas,2016,22.62,67.29
Chihuahua,2016,42.3,46.47
Ciudad de México,2016,9.73,84.59
Durango,2016,36.2,51.53
Guanajuato,2016,41.86,48.93
Guerrero,2016,20.43,71.01
Hidalgo,2016,40.59,52.33
Jalisco,2016,29.55,58.54
México,2016,29.1,63.29
Michoacán de Ocampo,2016,20.39,62.34
Morelos,2016,31.51,59.73
Nayarit,2016,21.44,66.87
Nuevo León,2016,38.53,54.77
Oaxaca,2016,34.04,57.68
Puebla,2016,33.95,56.98
Querétaro,2016,42.55,49.32
Quintana Roo,2016,11.81,80.16
San Luis Potosí,2016,44.87,46.19
Sinaloa,2016,18.89,66.01
Sonora,2016,46.16,43.06
Tabasco,2016,57.08,38.45
Tamaulipas,2016,40.36,51.39
Tlaxcala,2016,33.01,57.69
Veracruz de Ignacio de la Llave,2016,31.99,58.48
Yucatán,2016,24.89,67.74
Zacatecas,2016,33.42,50.02
Aguascalientes,2017,44.57,45.29
Baja California,2017,42.84,48.55
Baja California Sur,2017,21.2,70.16
Campeche,2017,81.66,15.58
Coahuila de Zaragoza,2017,54.86,37.35
Colima,2017,28.96,63.81
Chiapas,2017,21.0,68.91
Chihuahua,2017,42.28,46.04
Ciudad de México,2017,9.25,85.02
Durango,2017,36.45,51.28
Guanajuato,2017,41.82,48.96
