estado,año,informalidad_pct
Veracruz de Ignacio de la Llave,2013,67.12
Veracruz de Ignacio de la Llave,2014,68.33
Veracruz de Ignacio de la Llave,2015,68.76
Veracruz de Ignacio de la Llave,2016,69.66
Veracruz de Ignacio de la Llave,2017,69.31
Veracruz de Ignacio de la Llave,2018,68.45
Veracruz de Ignacio de la Llave,2019,68.27
Veracruz de Ignacio de la Llave,2020,67.57
Veracruz de Ignacio de la Llave,2021,70.67
Veracruz de Ignacio de la Llave,2022,67.65
Veracruz de Ignacio de la Llave,2023,68.17
Veracruz de Ignacio de la Llave,2024,68.76
Veracruz de Ignacio de la Llave,2025,69.67
Yucatán,2005,61.66
Yucatán,2006,61.56
Yucatán,2007,62.49
Yucatán,2008,62.42
Yucatán,2009,63.56
Yucatán,2010,63.4
Yucatán,2011,63.7
Yucatán,2012,64.85
Yucatán,2013,64.34
Yucatán,2014,62.57
Yucatán,2015,62.14
Yucatán,2016,62.4
Yucatán,2017,61.95
Yucatán,2018,61.98
Yucatán,2019,60.72
Yucatán,2020,57.58
Yucatán,2021,60.79
Yucatán,2022,60.79
Yucatán,2023,60.97
Yucatán,2024,59.17
Yucatán,2025,58.59
Zacatecas,2005,67.18
Zacatecas,2006,65.91
Zacatecas,2007,65.5
Zacatecas,2008,66.41
Zacatecas,2009,67.29
Zacatecas,2010,65.23
Zacatecas,2011,64.45
Zacatecas,2012,65.45
Zacatecas,2013,66.18
Zacatecas,2014,64.79
Zacatecas,2015,64.7
Zacatecas,2016,62.45
Zacatecas,2017,61.48
Zacatecas,2018,60.99
Zacatecas,2019,60.45
Zacatecas,2020,61.12
Zacatecas,2021,61.3
Zacatecas,2022,61.52
Zacatecas,2023,60.6
Zacatecas,2024,60.19
Zacatecas,2025,59.29
