estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Querétaro,2023,613535,2503000,245120,40.87,50.49,44.64,10.48,736.12,1249.21,9.07
Quintana Roo,2023,398839,2229000,178932,20.73,72.23,45.88,10.24,1031.61,397.14,31.9
San Luis Potosí,2023,573597,3105000,184733,46.84,43.66,53.72,9.61,1085.6,2071.52,18.04
Sinaloa,2023,517102,3267000,158280,18.12,68.12,47.51,10.22,405.88,1113.21,19.99
Sonora,2023,826903,3282000,251951,45.73,42.13,41.74,10.4,2395.25,915.45,45.52
Tabasco,2023,647378,2619000,247185,62.85,33.19,62.44,9.69,316.08,420.1,10.61
Tamaulipas,2023,746116,4042000,184591,39.31,52.97,43.75,10.09,510.06,1100.86,17.34
Tlaxcala,2023,149204,1412000,105669,33.74,57.07,70.77,9.83,328.89,414.2,9.92
Veracruz de Ignacio de la Llave,2023,1062249,7983000,133064,28.21,61.31,68.17,8.75,826.47,2573.81,10.16
Yucatán,2023,387739,2754000,140791,24.38,67.52,60.97,9.59,200.34,434.26,1.89
Zacatecas,2023,229296,1678000,136648,35.94,49.25,60.6,9.25,620.05,1816.25,64.9
