estado,año,pibe_millones,poblacion,pib_per_capita,pct_secundario,pct_terciario,informalidad_pct,escolaridad_promedio,ied_mdd,remesas_mdd,homicidios_100k
Quintana Roo,2012,280381,1560000,179731,10.61,81.42,50.74,9.32,583.7,96.85,9.87
San Luis Potosí,2012,437595,2697000,162253,42.94,48.95,58.38,8.48,880.32,766.7,16.83
Sinaloa,2012,466782,2873000,162472,20.2,65.74,54.33,9.28,432.5,520.17,48.56
Sonora,2012,681379,2781000,245012,44.06,44.38,46.87,9.65,1172.86,339.12,18.88
Tabasco,2012,595176,2238000,265941,63.48,32.65,63.21,8.91,325.47,115.46,8.71
Tamaulipas,2012,676616,3443000,196519,42.8,49.3,50.29,9.28,1051.42,503.87,45.34
Tlaxcala,2012,128975,1187000,108656,31.93,59.0,73.53,8.98,79.51,262.82,6.32
Veracruz de Ignacio de la Llave,2012,1084723,7464000,145327,34.89,56.11,68.17,7.88,1061.32,1220.36,13.65
Yucatán,2012,299649,2248000,133296,24.48,67.73,64.85,8.46,127.92,123.71,1.82
Zacatecas,2012,201298,1514000,132958,34.53,49.96,65.45,8.19,754.39,679.2,30.65
Aguascalientes,2013,251657,1281000,196454,41.52,48.25,48.83,9.53,69.14,316.8,3.51
Baja California,2013,733754,3489000,210305,40.23,50.73,41.9,9.56,1290.83,626.67,21.98
Baja California Sur,2013,145216,668000,217389,20.61,71.15,40.99,9.71,421.34,47.43,7.04
Campeche,2013,692550,801000,864607,84.39,14.03,61.67,8.89,278.42,56.93,8.86
Coahuila de Zaragoza,2013,864429,2895000,298594,54.91,37.17,40.35,9.73,1804.58,338.88,27.63
Colima,2013,133729,719000,185993,28.89,63.58,53.79,9.3,167.79,190.11,31.29
Chiapas,2013,360621,4898000,73626,24.17,65.68,78.17,7.04,182.41,520.48,10.04
Chihuahua,2013,732551,3586000,204281,40.24,48.07,38.83,9.21,2311.45,533.54,59.48
Ciudad de México,2013,3363394,8712000,386065,11.02,83.29,50.32,10.89,5835.45,1444.92,12.75
Durango,2013,299615,1577000,189990,38.16,49.79,56.91,8.92,482.49,475.87,29.99
Guanajuato,2013,931177,5678000,163997,38.31,52.69,61.41,8.12,2621.38,2080.27,12.36
Guerrero,2013,299721,3409000,87921,20.8,70.96,78.4,7.59,1088.17,1250.03,66.97
Hidalgo,2013,379720,2656000,142967,41.69,50.79,73.5,8.47,470.02,653.47,6.29
Jalisco,2013,1514073,8070000,187617,29.2,58.92,53.9,9.06,2937.92,1818.2,18.48
México,2013,1923372,16346000,117666,30.45,61.13,58.53,9.36,4608.44,1485.73,20.26
Michoacán de Ocampo,2013,533526,4231000,126099,21.69,63.12,71.88,7.73,2247.67,2124.3,21.79
Morelos,2013,258139,1810000,142618,31.45,59.77,67.2,9.14,451.16,533.45,34.75
Nayarit,2013,145073,1140000,127257,23.25,64.59,63.67,8.94,535.43,332.87,19.65
Nuevo León,2013,1611569,5194000,310275,39.6,54.04,39.24,10.09,2214.57,611.73,17.83
Oaxaca,2013,397816,3846000,103436,36.57,55.45,81.06,7.29,1942.55,1193.57,19.81
Puebla,2013,735648,6572000,111937,32.64,58.3,74.18,8.27,1504.51,1384.08,8.48
Querétaro,2013,522048,1997000,261416,42.99,49.09,45.21,9.3,926.6,425.96,5.96
Quintana Roo,2013,289182,1627000,177739,11.75,80.5,48.03,9.42,930.44,104.58,10.08
San Luis Potosí,2013,450257,2734000,164688,42.37,49.13,58.04,8.6,2008.13,732.96,11.05
Sinaloa,2013,465716,2903000,160426,19.18,66.93,50.75,9.38,605.43,521.03,42.03
Sonora,2013,709514,2825000,251155,44.47,44.64,45.06,9.77,2088.72,353.65,23.29
Tabasco,2013,597200,2280000,261930,62.37,33.87,63.47,9.04,323.94,121.52,10.79
Tamaulipas,2013,680107,3500000,194316,42.06,50.3,48.54,9.35,1734.48,732.78,25.14
Tlaxcala,2013,128121,1210000,105885,30.65,60.62,72.94,9.07,80.74,225.1,7.52
Veracruz de Ignacio de la Llave,2013,1074459,7474000,143760,35.23,55.62,67.12,7.99,1702.75,1065.77,10.24
Yucatán,2013,302445,2302000,131384,22.79,69.76,64.34,8.58,516.66,130.06,2.13
Zacatecas,2013,196164,1528000,128380,31.37,51.96,66.18,8.34,3973.16,657.28,28.21
Aguascalientes,2014,277675,1314000,211320,44.31,45.37,45.46,9.63,978.8,334.54,3.5
Baja California,2014,760857,3550000,214326,41.62,49.58,39.02,9.66,1223.34,629.9,20.2
Baja California Sur,2014,147614,694000,212700,19.69,71.68,40.63,9.81,228.7,48.07,13.26
Campeche,2014,685992,812000,844818,84.03,14.26,60.66,9.01,218.57,57.69,9.61
Coahuila de Zaragoza,2014,902863,2950000,306055,55.71,36.37,36.55,9.81,1625.46,404.93,15.9
Colima,2014,135091,735000,183797,28.44,64.56,53.94,9.41,195.64,223.87,19.05
Chiapas,2014,374691,4968000,75421,24.61,66.1,79.12,7.17,36.56,519.68,9.26
Chihuahua,2014,753195,3611000,208583,40.84,47.38,37.87,9.34,1936.58,565.72,48.6
Ciudad de México,2014,3412110,8704000,392016,10.64,83.76,50.07,11.0,6126.79,1558.8,12.63
Durango,2014,307940,1587000,194039,39.4,48.69,55.33,9.04,155.88,507.79,21.93
