estado,año,escolaridad_promedio
Tamaulipas,2022,10.09
Tamaulipas,2023,10.09
Tlaxcala,2005,8.78
Tlaxcala,2006,8.78
Tlaxcala,2007,8.78
Tlaxcala,2008,8.78
Tlaxcala,2009,8.78
Tlaxcala,2010,8.78
Tlaxcala,2011,8.88
Tlaxcala,2012,8.98
Tlaxcala,2013,9.07
Tlaxcala,2014,9.17
Tlaxcala,2015,9.27
Tlaxcala,2016,9.38
Tlaxcala,2017,9.49
Tlaxcala,2018,9.61
Tlaxcala,2019,9.72
Tlaxcala,2020,9.83
Tlaxcala,2021,9.83
Tlaxcala,2022,9.83
Tlaxcala,2023,9.83
Veracruz de Ignacio de la Llave,2005,7.67
Veracruz de Ignacio de la Llave,2006,7.67
Veracruz de Ignacio de la Llave,2007,7.67
Veracruz de Ignacio de la Llave,2008,7.67
Veracruz de Ignacio de la Llave,2009,7.67
Veracruz de Ignacio de la Llave,2010,7.67
Veracruz de Ignacio de la Llave,2011,7.78
Veracruz de Ignacio de la Llave,2012,7.88
Veracruz de Ignacio de la Llave,2013,7.99
Veracruz de Ignacio de la Llave,2014,8.09
Veracruz de Ignacio de la Llave,2015,8.2
Veracruz de Ignacio de la Llave,2016,8.31
Veracruz de Ignacio de la Llave,2017,8.42
Veracruz de Ignacio de la Llave,2018,8.53
Veracruz de Ignacio de la Llave,2019,8.64
Veracruz de Ignacio de la Llave,2020,8.75
Veracruz de Ignacio de la Llave,2021,8.75
Veracruz de Ignacio de la Llave,2022,8.75
Veracruz de Ignacio de la Llave,2023,8.75
Yucatán,2005,8.22
Yucatán,2006,8.22
Yucatán,2007,8.22
Yucatán,2008,8.22
Yucatán,2009,8.22
Yucatán,2010,8.22
Yucatán,2011,8.34
Yucatán,2012,8.46
Yucatán,2013,8.58
Yucatán,2014,8.7
Yucatán,2015,8.82
Yucatán,2016,8.97
Yucatán,2017,9.13
Yucatán,2018,9.28
Yucatán,2019,9.44
Yucatán,2020,9.59
Yucatán,2021,9.59
Yucatán,2022,9.59
Yucatán,2023,9.59
Zacatecas,2005,7.9
Zacatecas,2006,7.9
Zacatecas,2007,7.9
Zacatecas,2008,7.9
Zacatecas,2009,7.9
Zacatecas,2010,7.9
Zacatecas,2011,8.05
Zacatecas,2012,8.19
Zacatecas,2013,8.34
Zacatecas,2014,8.48
Zacatecas,2015,8.63
Zacatecas,2016,8.75
Zacatecas,2017,8.88
Zacatecas,2018,9.0
Zacatecas,2019,9.13
Zacatecas,2020,9.25
Zacatecas,2021,9.25
Zacatecas,2022,9.25
Zacatecas,2023,9.25
