año,estado,remesas_mdd
2007,Nayarit,384.56
2008,Nayarit,392.09
2009,Nayarit,354.7
2010,Nayarit,348.28
2011,Nayarit,368.0
2012,Nayarit,352.39
2013,Nayarit,332.87
2014,Nayarit,373.71
2015,Nayarit,402.34
2016,Nayarit,448.36
2017,Nayarit,508.46
2018,Nayarit,561.29
2019,Nayarit,599.4
2020,Nayarit,694.29
2021,Nayarit,870.45
2022,Nayarit,868.45
2023,Nayarit,874.83
2003,Nuevo León,189.17
2004,Nuevo León,295.85
2005,Nuevo León,283.98
2006,Nuevo León,342.55
2007,Nuevo León,335.07
2008,Nuevo León,337.21
2009,Nuevo León,304.23
2010,Nuevo León,293.15
2011,Nuevo León,319.01
2012,Nuevo León,352.91
2013,Nuevo León,611.73
2014,Nuevo León,629.57
2015,Nuevo León,653.89
2016,Nuevo León,664.18
2017,Nuevo León,883.68
2018,Nuevo León,951.66
2019,Nuevo León,975.3
2020,Nuevo León,1044.53
2021,Nuevo León,1330.26
2022,Nuevo León,1454.55
2023,Nuevo León,1471.71
2003,Oaxaca,787.12
2004,Oaxaca,948.86
2005,Oaxaca,1080.25
2006,Oaxaca,1360.18
2007,Oaxaca,1555.31
2008,Oaxaca,1585.4
2009,Oaxaca,1348.24
2010,Oaxaca,1338.4
2011,Oaxaca,1474.08
2012,Oaxaca,1417.76
2013,Oaxaca,1193.57
2014,Oaxaca,1256.68
2015,Oaxaca,1299.08
2016,Oaxaca,1460.94
2017,Oaxaca,1580.44
2018,Oaxaca,1789.95
2019,Oaxaca,1873.85
2020,Oaxaca,1961.1
2021,Oaxaca,2460.86
2022,Oaxaca,2937.94
2023,Oaxaca,3214.05
2003,Puebla,853.88
2004,Puebla,1009.06
2005,Puebla,1182.06
2006,Puebla,1482.57
2007,Puebla,1657.63
2008,Puebla,1682.39
2009,Puebla,1427.54
2010,Puebla,1415.46
2011,Puebla,1517.59
2012,Puebla,1456.31
2013,Puebla,1384.08
2014,Puebla,1384.83
2015,Puebla,1373.48
2016,Puebla,1501.13
2017,Puebla,1661.81
2018,Puebla,1756.87
2019,Puebla,1830.7
2020,Puebla,1933.62
2021,Puebla,2184.61
2022,Puebla,2773.77
2023,Puebla,3144.92
2003,Querétaro,283.34
2004,Querétaro,353.4
2005,Querétaro,405.92
2006,Querétaro,484.08
2007,Querétaro,486.67
2008,Querétaro,454.52
2009,Querétaro,373.99
2010,Querétaro,365.97
2011,Querétaro,395.83
2012,Querétaro,392.89
2013,Querétaro,425.96
2014,Querétaro,410.16
2015,Querétaro,469.91
2016,Querétaro,534.74
2017,Querétaro,607.59
2018,Querétaro,675.25
2019,Querétaro,725.95
2020,Querétaro,824.4
2021,Querétaro,1028.7
2022,Querétaro,1203.48
2023,Querétaro,1249.21
2003,Quintana Roo,52.85
2004,Quintana Roo,67.46
2005,Quintana Roo,84.97
